left_primary`left_secondary`right_text
New York`United States`88 backers
Los Angeles`United States`69 backers
San Francisco`United States`62 backers
London`United Kingdom`54 backers
Seattle`United States`50 backers
Brooklyn`United States`42 backers
Chicago`United States`40 backers
Portland`United States`39 backers
Reykjavik`Iceland`30 backers
Boston`United States`29 backers
United States``1,783 backers
United Kingdom``152 backers
Canada``112 backers
Australia``53 backers
Iceland``34 backers
France``17 backers
Sweden``17 backers
Germany``11 backers
Norway``9 backers
Netherlands``7 backers
