left_primary`left_secondary`right_text
Boulder`United States`15 backers
New York`United States`12 backers
Denver`United States`10 backers
San Francisco`United States`9 backers
Chicago`United States`8 backers
Los Angeles`United States`8 backers
Boston`United States`6 backers
Minneapolis`United States`5 backers
Portland`United States`5 backers
Austin`United States`4 backers
United States``379 backers
Canada``16 backers
United Kingdom``3 backers
Australia``2 backers
Japan``2 backers
Netherlands``2 backers
Argentina``1 backer
Austria``1 backer
Belgium``1 backer
Finland``1 backer
