left_primary`left_secondary`right_text
Chicago`United States`116 backers
Los Angeles`United States`101 backers
New York`United States`100 backers
London`United Kingdom`75 backers
Washington`United States`70 backers
San Francisco`United States`67 backers
San Diego`United States`42 backers
Seattle`United States`42 backers
Atlanta`United States`41 backers
Denver`United States`40 backers
United States``3,786 backers
Canada``234 backers
United Kingdom``230 backers
Australia``106 backers
Germany``88 backers
France``36 backers
Netherlands``36 backers
Spain``28 backers
New Zealand``22 backers
Switzerland``19 backers
