left_primary`left_secondary`right_text
Portland`United States`180 backers
Seattle`United States`17 backers
Los Angeles`United States`14 backers
New York`United States`12 backers
Vancouver`United States`9 backers
Eugene`United States`7 backers
London`Canada`6 backers
San Francisco`United States`5 backers
London`United Kingdom`4 backers
Denver`United States`4 backers
United States``473 backers
Canada``23 backers
United Kingdom``6 backers
United Arab Emirates``2 backers
Denmark``1 backer
France``1 backer
Guatemala``1 backer
India``1 backer
Norway``1 backer
Singapore``1 backer
