left_primary`left_secondary`right_text
Seoul`South Korea`43 backers
Incheon`South Korea`4 backers
Santa Clara`United States`4 backers
Montreal`Canada`3 backers
Irvine`United States`3 backers
New York`United States`3 backers
San Jose`United States`3 backers
Sunnyvale`United States`3 backers
Guangzhou`China`2 backers
Cerritos`United States`2 backers
United States``71 backers
South Korea``47 backers
Canada``6 backers
China``3 backers
Mexico``2 backers
Indonesia``1 backer
India``1 backer
Ivory Coast``1 backer
South Africa``1 backer
