left_primary`left_secondary`right_text
London`United Kingdom`425 backers
Tokyo`Japan`422 backers
Los Angeles`United States`323 backers
New York`United States`321 backers
Toronto`Canada`265 backers
Melbourne`Australia`228 backers
San Francisco`United States`226 backers
Sydney`Australia`219 backers
Chicago`United States`162 backers
Brooklyn`United States`159 backers
United States``9,451 backers
Canada``1,439 backers
United Kingdom``1,165 backers
Japan``744 backers
Australia``741 backers
Germany``647 backers
France``357 backers
Netherlands``338 backers
Switzerland``261 backers
Italy``208 backers
