left_primary`left_secondary`right_text
New York`United States`58 backers
Seattle`United States`54 backers
Portland`United States`28 backers
Chicago`United States`27 backers
Los Angeles`United States`25 backers
London`United Kingdom`24 backers
Melbourne`Australia`24 backers
Brooklyn`United States`24 backers
Minneapolis`United States`22 backers
Toronto`Canada`20 backers
United States``1,515 backers
Canada``138 backers
United Kingdom``106 backers
Australia``81 backers
Sweden``30 backers
Germany``27 backers
France``25 backers
Spain``19 backers
New Zealand``16 backers
Finland``12 backers
