left_primary`left_secondary`right_text
Singapore`Singapore`10 backers
New York`United States`8 backers
London`United Kingdom`5 backers
Los Angeles`United States`5 backers
Sydney`Australia`4 backers
Seoul`South Korea`4 backers
Houston`United States`4 backers
Portland`United States`4 backers
San Francisco`United States`4 backers
San Jose`United States`4 backers
United States``144 backers
United Kingdom``15 backers
Singapore``10 backers
Canada``9 backers
Australia``8 backers
Germany``5 backers
Sweden``5 backers
South Korea``4 backers
Hong Kong``4 backers
Spain``3 backers
