left_primary`left_secondary`right_text
Singapore`Singapore`265 backers
London`United Kingdom`70 backers
Los Angeles`United States`66 backers
Hong Kong`Hong Kong`65 backers
Sydney`Australia`55 backers
Melbourne`Australia`53 backers
New York`United States`52 backers
San Francisco`United States`44 backers
Tokyo`Japan`30 backers
Toronto`Canada`29 backers
United States``1,405 backers
Singapore``265 backers
United Kingdom``198 backers
Australia``172 backers
Canada``147 backers
Hong Kong``138 backers
Germany``92 backers
Japan``74 backers
France``52 backers
Netherlands``46 backers
