left_primary`left_secondary`right_text
Chicago`United States`83 backers
London`United Kingdom`65 backers
Tokyo`Japan`63 backers
New York`United States`63 backers
Singapore`Singapore`53 backers
Los Angeles`United States`49 backers
San Francisco`United States`43 backers
Sydney`Australia`31 backers
Melbourne`Australia`27 backers
Evanston`United States`25 backers
United States``1,448 backers
United Kingdom``155 backers
Japan``128 backers
Canada``100 backers
Australia``83 backers
Germany``57 backers
Singapore``53 backers
France``38 backers
Switzerland``38 backers
Netherlands``31 backers
