left_primary`left_secondary`right_text
Baltimore`United States`123 backers
Brooklyn`United States`63 backers
New York`United States`51 backers
Los Angeles`United States`25 backers
San Francisco`United States`18 backers
Philadelphia`United States`14 backers
London`United Kingdom`10 backers
Chicago`United States`9 backers
Oakland`United States`9 backers
Boston`United States`7 backers
United States``518 backers
United Kingdom``23 backers
Canada``12 backers
Australia``8 backers
France``5 backers
Denmark``2 backers
Ireland``2 backers
Finland``2 backers
Germany``2 backers
Netherlands``2 backers
