left_primary`left_secondary`right_text
Boston`United States`83 backers
Cambridge`United States`35 backers
New York`United States`30 backers
Madison`United States`25 backers
San Francisco`United States`18 backers
Washington`United States`17 backers
Milwaukee`United States`14 backers
Los Angeles`United States`11 backers
Somerville`United States`10 backers
Chicago`United States`9 backers
United States``522 backers
United Kingdom``12 backers
Canada``6 backers
France``5 backers
Australia``3 backers
Germany``3 backers
Singapore``2 backers
United Arab Emirates``1 backer
Austria``1 backer
Myanmar``1 backer
