left_primary`left_secondary`right_text
London`United Kingdom`46 backers
Tokyo`Japan`22 backers
Singapore`Singapore`20 backers
Toronto`Canada`19 backers
Melbourne`Australia`16 backers
Seattle`United States`16 backers
Los Angeles`United States`15 backers
Sydney`Australia`13 backers
New York`United States`13 backers
San Francisco`United States`12 backers
United States``602 backers
United Kingdom``118 backers
Germany``76 backers
Canada``62 backers
Australia``49 backers
Japan``42 backers
Netherlands``32 backers
France``28 backers
Italy``27 backers
Sweden``25 backers
