left_primary`left_secondary`right_text
New York`United States`166 backers
Brooklyn`United States`110 backers
Los Angeles`United States`100 backers
San Francisco`United States`74 backers
Seattle`United States`68 backers
Chicago`United States`57 backers
Madison`United States`55 backers
Portland`United States`46 backers
Washington`United States`41 backers
Boston`United States`31 backers
United States``2,977 backers
Canada``87 backers
United Kingdom``59 backers
Australia``34 backers
Germany``23 backers
Netherlands``13 backers
France``10 backers
Switzerland``10 backers
Denmark``7 backers
Ireland``7 backers
