left_primary`left_secondary`right_text
Brooklyn`United States`37 backers
London`United Kingdom`23 backers
New York`United States`23 backers
Chicago`United States`16 backers
Seattle`United States`16 backers
Singapore`Singapore`12 backers
Sydney`Australia`10 backers
Los Angeles`United States`10 backers
Boston`United States`9 backers
Minneapolis`United States`9 backers
United States``796 backers
United Kingdom``66 backers
Canada``52 backers
Australia``44 backers
Germany``20 backers
France``13 backers
Singapore``12 backers
Netherlands``10 backers
Switzerland``10 backers
New Zealand``9 backers
