left_primary`left_secondary`right_text
London`United Kingdom`130 backers
Brussels`Belgium`45 backers
New York`United States`18 backers
Zurich`Switzerland`11 backers
Singapore`Singapore`11 backers
Brooklyn`United States`11 backers
Paris`France`10 backers
San Francisco`United States`9 backers
Amsterdam`Netherlands`7 backers
Munich`Germany`6 backers
United Kingdom``224 backers
United States``210 backers
Belgium``71 backers
France``30 backers
Germany``30 backers
Netherlands``20 backers
Switzerland``20 backers
Australia``17 backers
Canada``16 backers
Italy``15 backers
