left_primary`left_secondary`right_text
London`United Kingdom`6 backers
Melbourne`Australia`6 backers
Sydney`Australia`6 backers
Toronto`Canada`5 backers
Brisbane`Australia`5 backers
Chicago`United States`5 backers
Los Angeles`United States`5 backers
Minneapolis`United States`5 backers
Edmonton`Canada`4 backers
Perth`Australia`4 backers
United States``246 backers
United Kingdom``41 backers
Canada``36 backers
Australia``28 backers
Germany``4 backers
Austria``2 backers
Belgium``2 backers
Denmark``2 backers
France``2 backers
Netherlands``2 backers
