left_primary`left_secondary`right_text
San Francisco`United States`203 backers
Los Angeles`United States`120 backers
New York`United States`103 backers
Chicago`United States`71 backers
Oakland`United States`68 backers
Seattle`United States`59 backers
Austin`United States`51 backers
Denver`United States`51 backers
Brooklyn`United States`46 backers
San Diego`United States`42 backers
United States``3,566 backers
Canada``168 backers
United Kingdom``54 backers
Australia``46 backers
Germany``24 backers
Japan``19 backers
Netherlands``15 backers
Singapore``13 backers
Sweden``12 backers
Switzerland``9 backers
