left_primary`left_secondary`right_text
Seattle`United States`79 backers
San Francisco`United States`34 backers
New York`United States`27 backers
Los Angeles`United States`21 backers
Bellevue`United States`15 backers
San Diego`United States`11 backers
Chicago`United States`10 backers
Austin`United States`9 backers
Brooklyn`United States`8 backers
Toronto`Canada`7 backers
United States``669 backers
Canada``18 backers
Australia``17 backers
United Kingdom``12 backers
Brazil``5 backers
New Zealand``4 backers
Singapore``4 backers
Germany``2 backers
Malaysia``2 backers
Sweden``2 backers
