left_primary`left_secondary`right_text
Portland`United States`75 backers
New York`United States`26 backers
San Francisco`United States`23 backers
Brooklyn`United States`23 backers
Los Angeles`United States`18 backers
Washington`United States`18 backers
Seattle`United States`17 backers
Chicago`United States`13 backers
Toronto`Canada`9 backers
Boston`United States`9 backers
United States``617 backers
Canada``25 backers
United Kingdom``21 backers
Australia``11 backers
Germany``7 backers
Singapore``4 backers
Austria``3 backers
Finland``3 backers
France``3 backers
New Zealand``3 backers
