left_primary`left_secondary`right_text
Portland`United States`69 backers
New York`United States`68 backers
Seattle`United States`68 backers
San Francisco`United States`53 backers
Brooklyn`United States`52 backers
London`United Kingdom`50 backers
Los Angeles`United States`47 backers
Chicago`United States`38 backers
Toronto`Canada`27 backers
Melbourne`Australia`27 backers
United States``1,731 backers
Canada``157 backers
United Kingdom``145 backers
Australia``84 backers
Sweden``28 backers
Germany``26 backers
New Zealand``22 backers
France``15 backers
Ireland``11 backers
Singapore``11 backers
