left_primary`left_secondary`right_text
London`United Kingdom`46 backers
Singapore`Singapore`33 backers
Sydney`Australia`30 backers
Los Angeles`United States`26 backers
Melbourne`Australia`21 backers
New York`United States`20 backers
Toronto`Canada`18 backers
Chicago`United States`17 backers
Perth`Australia`16 backers
Tokyo`Japan`14 backers
United States``727 backers
United Kingdom``121 backers
Australia``97 backers
Canada``89 backers
Germany``87 backers
Netherlands``49 backers
Singapore``33 backers
Sweden``31 backers
Japan``29 backers
France``28 backers
