left_primary`left_secondary`right_text
San Jose`United States`10 backers
San Francisco`United States`8 backers
New York`United States`7 backers
Oakland`United States`5 backers
Closter`United States`4 backers
Mountain View`United States`4 backers
Sunnyvale`United States`4 backers
Denver`United States`3 backers
Los Angeles`United States`3 backers
Palo Alto`United States`3 backers
United States``128 backers
Canada``4 backers
United Kingdom``2 backers
Australia``1 backer
Ireland``1 backer
Italy``1 backer
Singapore``1 backer
