AmountPledged,ofImages,ofVideos,ofDescText,backedProjects,createdProjects,websiteLinked,collaborator,accountVerified,facebookConnected,facebookFriends,noOfRewards,pledgeDescLength,pledge_ColemanLiau,followers_count,friends_count,public_list_count,tweets_count,likes_count,rating
200000.0,5.0,1.0,640.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,23.0,908.0,12.17,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
35000.0,31.0,1.0,592.0,9.0,1.0,4.0,3.0,1.0,0.0,0.0,7.0,331.0,8.09,1672.0,1641.0,53.0,3850.0,1041.0,1.0
10000.0,5.0,1.0,519.0,17.0,1.0,1.0,10.0,0.0,1.0,999.0,7.0,225.0,10.07,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
10000.0,5.0,1.0,526.0,6.0,1.0,2.0,3.0,0.0,1.0,255.0,8.0,773.0,8.59,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
40000.0,17.0,1.0,1122.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,15.0,609.0,8.99,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
25000.0,15.0,1.0,1458.0,68.0,2.0,3.0,1.0,1.0,1.0,1263.0,12.0,241.0,11.93,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
20000.0,9.0,1.0,567.0,49.0,2.0,3.0,3.0,0.0,1.0,654.0,6.0,209.0,8.75,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
100000.0,31.0,1.0,1324.0,9.0,1.0,1.0,3.0,1.0,1.0,708.0,10.0,479.0,7.46,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,0.0
7500.0,0.0,0.0,1328.0,11.0,2.0,3.0,0.0,0.0,1.0,833.0,9.0,322.0,12.93,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
28000.0,12.0,0.0,1120.0,9.0,2.0,1.0,0.0,1.0,0.0,0.0,13.0,772.0,9.05,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
100000.0,9.0,1.0,1692.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,105.0,11.86,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
100000.0,4.0,1.0,131.0,13.0,1.0,4.0,8.0,0.0,1.0,1847.0,9.0,447.0,12.65,247.0,1690.8857142857,8.0,16.0,1.0,0.0
40000.0,35.0,1.0,1353.0,5.0,5.0,4.0,3.0,1.0,0.0,0.0,8.0,311.0,10.7,16488.0,208.0,180.0,7834.0,3867.0,0.0
12000.0,16.0,1.0,1028.0,5.0,2.0,3.0,3.0,1.0,0.0,0.0,14.0,656.0,12.04,19773.0,1283.0,47.0,610.0,763.0,0.0
60000.0,20.0,1.0,1627.0,34.0,2.0,2.0,10.0,1.0,1.0,1961.0,7.0,312.0,11.19,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,0.0
150000.0,12.0,2.0,2528.0,20.0,2.0,4.0,3.0,1.0,0.0,0.0,27.0,1817.0,8.04,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
1500.0,6.0,2.0,1139.0,40.0,5.0,5.0,3.0,1.0,1.0,487.0,7.0,287.0,12.82,1703.0,1471.0,76.0,5815.0,3205.0,1.0
30000.0,25.0,1.0,2009.0,7.0,2.0,1.0,8.0,1.0,0.0,0.0,16.0,672.0,6.95,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
2000000.0,7.0,1.0,2127.0,13.0,1.0,3.0,1.0,0.0,0.0,0.0,32.0,3120.0,10.62,68124.0,300.0,889.0,2219.0,918.0,1.0
20000.0,26.0,4.0,1029.0,29.0,2.0,5.0,2.0,1.0,1.0,601.0,13.0,354.0,13.18,2141.0,459.0,122.0,3434.0,2603.0,0.0
45000.0,26.0,1.0,1121.0,4.0,1.0,1.0,10.0,0.0,0.0,0.0,7.0,276.0,12.39,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
25000.0,7.0,1.0,2130.0,23.0,2.0,5.0,0.0,1.0,1.0,510.0,11.0,481.0,8.91,1715.0,464.0,52.0,2123.0,1959.0,1.0
30000.0,5.0,1.0,544.0,5.0,2.0,1.0,3.0,1.0,0.0,0.0,11.0,556.0,7.99,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
500000.0,39.0,2.0,2338.0,7.0,1.0,3.0,10.0,1.0,0.0,0.0,7.0,253.0,10.33,27099.0,267.0,207.0,3536.0,4397.0,1.0
25000.0,0.0,1.0,391.0,9.0,3.0,5.0,3.0,1.0,0.0,0.0,10.0,319.0,9.52,39475.0,490.0,1033.0,8497.0,6301.0,1.0
12000.0,46.0,1.0,1841.0,40.0,8.0,3.0,8.0,1.0,1.0,539.0,7.0,383.0,9.1,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,0.0
50000.0,42.0,1.0,1017.0,23.0,1.0,3.0,8.0,1.0,1.0,719.0,9.0,259.0,12.58,1105.0,506.0,124.0,886.0,6149.0,0.0
100000.0,24.0,1.0,2438.0,6.0,1.0,4.0,3.0,0.0,0.0,0.0,24.0,1110.0,10.37,106.0,1.0,2.0,28.0,4399.6086956521995,1.0
25000.0,27.0,2.0,1141.0,32.0,1.0,2.0,3.0,1.0,1.0,484.0,7.0,191.0,6.1,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,0.0
120000.0,59.0,1.0,1480.0,176.0,3.0,1.0,3.0,1.0,0.0,0.0,24.0,1200.0,10.39,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,0.0
160000.0,37.0,1.0,1680.0,49.0,2.0,3.0,0.0,1.0,0.0,0.0,11.0,711.0,11.31,2766.0,862.0,16.0,506.0,1508.0,1.0
11000.0,17.0,1.0,767.0,8.0,2.0,1.0,10.0,1.0,1.0,903.0,12.0,376.0,9.91,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
15000.0,27.0,7.0,882.0,7.0,1.0,3.0,10.0,1.0,1.0,863.0,9.0,315.0,11.19,3207.0,3645.0,38.0,203.0,285.0,1.0
45000.0,22.0,4.0,1451.0,9.0,1.0,3.0,0.0,0.0,0.0,0.0,17.0,467.0,5.9,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,0.0
110000.0,26.0,1.0,1269.0,3.0,1.0,1.0,3.0,1.0,1.0,555.0,43.0,4191.0,11.95,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
6000.0,24.0,1.0,1395.0,7.0,1.0,1.0,10.0,1.0,0.0,0.0,10.0,329.0,7.33,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
100000.0,27.0,1.0,2063.0,2.0,1.0,2.0,10.0,0.0,0.0,0.0,14.0,762.0,10.09,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,0.0
50000.0,48.0,1.0,1350.0,50.0,26.0,1.0,1.0,1.0,0.0,0.0,2.0,56.0,16.39,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
20000.0,42.0,1.0,675.0,28.0,2.0,1.0,10.0,1.0,0.0,0.0,43.0,1568.0,10.44,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,0.0
10000.0,14.0,3.0,1340.0,17.0,1.0,1.0,3.0,1.0,1.0,296.0,8.0,134.0,11.5,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
50000.0,37.0,3.0,1474.0,33.0,2.0,4.0,1.0,1.0,0.0,0.0,17.0,579.0,10.66,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,0.0
10000.0,8.0,1.0,947.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,9.0,541.0,8.87,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
20000.0,60.0,1.0,2602.0,50.0,26.0,1.0,1.0,1.0,0.0,0.0,13.0,184.0,10.7,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
50000.0,26.0,1.0,2739.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,33.0,1582.0,11.77,49382.0,1906.0,1101.0,321.0,16059.0,1.0
10000.0,15.0,1.0,772.0,9.0,2.0,3.0,8.0,1.0,1.0,729.0,74.0,3926.0,11.02,1786.0,465.0,12.0,611.0,456.0,1.0
7000.0,12.0,1.0,826.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,11.0,870.0,10.21,3185.0,251.0,7.0,80.0,69.0,1.0
