Id,followers_count,friends_count,public_list_count,tweets_count,likes_count
248,0,0,0,0,0
249,29066,1111,1057,488,12598
250,0,0,0,0,0
251,2174,1589,67,1834,492
252,435,884,33,577,332
253,4039,5001,83,4723,2485
254,0,0,0,0,0
255,0,0,0,0,0
256,145649,468,2181,5914,510
257,0,0,0,0,0
258,191,123,153,1859,136
259,1446,583,68,3292,789
260,1400,977,62,1533,529
261,155,132,31,238,41
262,0,0,0,0,0
263,535,1833,72,1309,180
264,0,0,0,0,0
265,0,0,0,0,0
266,1786,465,12,611,456
267,0,0,0,0,0
268,2725,480,119,9807,11246
270,4517,614,85,2366,28400
271,0,0,0,0,0
272,2,1,0,1,0
273,4517,614,85,2366,28400
274,554,1123,24,1658,27
275,0,0,0,0,0
276,0,0,0,0,0
277,6309,1411,212,4545,0
278,1786,465,12,611,456
279,1512,1149,120,1535,1435
280,1179,182,72,1100,670
281,0,0,0,0,0
282,4517,614,85,2366,28400
284,0,0,0,0,0
285,0,0,0,0,0
286,0,0,0,0,0
287,21293,5257,688,14774,10940
288,0,0,0,0,0
289,0,0,0,0,0
290,0,0,0,0,0
291,0,0,0,0,0
292,4517,614,85,2366,28400
293,4583,1749,445,4704,5437
294,228,175,27,226,237
295,0,0,0,0,0
296,0,0,0,0,0
298,0,0,0,0,0
299,0,0,0,0,0
300,0,0,0,0,0
301,0,0,0,0,0
302,2049,2193,163,4830,18464
303,0,0,0,0,0
304,0,0,0,0,0
305,0,0,0,0,0
306,535,1833,72,1309,180
307,0,0,0,0,0
308,1795,4980,61,1914,4258
309,679,155,13,686,13
310,0,0,0,0,0
311,0,0,0,0,0
312,0,0,0,0,0
313,1786,465,12,611,456
314,284,284,18,595,135
315,0,0,0,0,0
316,0,0,0,0,0
317,4517,614,85,2366,28400
318,0,0,0,0,0
319,0,0,0,0,0
320,0,0,0,0,0
321,0,0,0,0,0
322,0,0,0,0,0
323,539,1070,13,606,820
324,0,0,0,0,0
325,1795,4980,61,1914,4258
326,4517,614,85,2366,28400
327,4583,1749,445,4704,5437
328,0,0,0,0,0
329,0,0,0,0,0
330,0,0,0,0,0
331,0,0,0,0,0
332,0,0,0,0,0
333,0,0,0,0,0
334,0,0,0,0,0
335,0,0,0,0,0
336,0,0,0,0,0
337,1795,4980,61,1914,4258
338,38,76,4,219,2
339,0,0,0,0,0
340,0,0,0,0,0
341,1786,465,12,611,456
342,0,0,0,0,0
343,937,609,66,1058,2283
344,0,0,0,0,0
345,0,0,0,0,0
346,0,0,0,0,0
347,0,0,0,0,0
348,0,0,0,0,0
349,0,0,0,0,0
350,0,0,0,0,0
351,0,0,0,0,0
352,0,0,0,0,0
353,1737,4563,28,1397,1718
354,0,0,0,0,0
355,0,0,0,0,0
356,2832,2012,275,1088,1537
357,0,0,0,0,0
358,0,0,0,0,0
359,2832,2012,275,1088,1537
360,1737,4563,28,1397,1718
