Id,AmazonCategory,AmazonPrice,AmazonImagesVideo,AmazonProdDescLength,rating
133,Books,129,7,575,5
35,Cell Phones Accessories,39.95,7,315,4.4
258,Home Kitchen,80,7,3481,4.4
79,Books,80,7,4525,4.7
273,Home Kitchen,45.6,6,3139,3.9
282,Home Kitchen,30.99,6,3139,3.7
223,Toys Games,35.19,9,3124,4.7
285,Clothing Shoes Jewelry,750,9,1953,5
250,Toys Games,34.99,2,4693,4.2
67,Clothing Shoes Jewelry,159,8,4000,3.3
338,Electronics,100,7,2739,3
60,Amazon Launchpad,14.99,7,4978,4.6
24,Patio Lawn Garden,59.95,9,4346,4.1
277,Books,59.95,9,4038,3.9
347,Electronics,42,7,5629,3.6
302,Toys Games,44.99,9,2715,4.1
123,Pet Supplies,29.26,5,3037,3.9
87,Electronics,69.95,2,1316,3.9
272,Toys Games,62.99,4,4164,4.1
158,Toys Games,49.95,9,2419,5
248,CDs Vinyl,49.95,4,1355,4.2
308,Toys Games,18,7,454,4.2
64,Patio Lawn Garden,31.99,7,3085,4.9
309,Home Kitchen,15.65,4,774,5
335,Sports Outdoors,285,7,4820,3.8
95,Books,285,7,1701,4.7
366,Toys Games,285,5,4283,5
118,Electronics,285,7,2940,4.2
284,Toys Games,24.99,6,282,4.5
58,Video Games,24.99,4,156,1.9
99,Amazon Video,9.99,1,54,4.6
182,Automotive,20,9,4644,5
183,Amazon Launchpad,59.9,9,3821,4.3
301,Books,59.9,9,4950,5
131,Health Household,39.99,7,2733,3.6
310,Cell Phones Accessories,89.99,8,3969,3.8
343,Electronics,399,7,7056,4.2
374,Toys Games,36.16,2,5715,4.2
195,Toys Games,22.99,7,2596,4.5
299,Sports Outdoors,899,7,654,3.5
365,Electronics,899,9,3458,4.1
313,Home Kitchen,26.97,4,1695,3.2
2,Electronics,9.99,7,3002,4.2
165,Electronics,19.99,4,1428,3.4
154,Electronics,21.98,7,2893,4.1
240,Sports Outdoors,137.75,7,2713,3.2
353,Toys Games,65,3,3526,5
303,Cell Phones Accessories,89.99,8,3969,3.8
254,Electronics,399,7,2973,3.9
224,Movies TV,399,1,445,3.6
201,Tools Home Improvement,16.99,3,1349,3.8
346,Sports Outdoors,325,3,2737,5
56,Home Kitchen,325,5,235,4.2
237,Clothing Shoes Jewelry,650,9,1953,5
244,Home Kitchen,120,3,2140,4.3
187,Electronics,29.99,6,3634,4.2
144,Toys Games,19.99,3,3994,4.6
233,Movies TV,19.99,1,2738,4.3
163,Sports Outdoors,74.96,7,2177,3.2
361,Amazon Launchpad,179,4,5816,5
208,Home Kitchen,31.95,7,3393,4.6
245,Sports Outdoors,79.99,9,5072,4.6
164,Home Kitchen,31.5,6,3139,4.4
155,Digital Music,8.99,6,3139,4.8
192,Books,8.99,6,0,4.3
219,Tools Home Improvement,42.99,7,3739,3.1
169,Toys Games,25,5,1550,4.2
141,Grocery Gourmet Food,25,3,5312,3
364,Toys Games,109.25,9,7355,3
53,Digital Music,8.99,9,7355,5
172,Books,8.99,9,1081,4.5
6,Home Kitchen,19.99,9,3068,3.9
9,Grocery Gourmet Food,15.99,4,2963,3.9
