Id,AmazonCategory,AmazonPrice,AmazonImagesVideo,AmazonProdDescLength,rating
140,Home Kitchen,32.95,8,3582,4.6
141,Grocery Gourmet Food,25,3,5312,3
142,Books,39.89,7,777,4.7
143,Sports Outdoors,23.2,9,6298,4
144,Toys Games,19.99,3,3994,4.6
145,Amazon Video,3.99,8,3344,4
146,Amazon Video,3.99,7,3680,4.3
147,Books,24.99,5,2029,4.6
148,Home Kitchen,459.99,2,1649,3.6
149,Electronics,295,9,6129,4.6
150,Movies TV,39.95,1,345,4.8
151,Tools Home Improvement,16.99,3,1349,3.8
152,Office Products,29.15,7,6429,4.1
153,Home Kitchen,35.02,5,4480,4.2
154,Electronics,21.98,7,2893,4.1
155,Digital Music,8.99,6,3139,4.8
156,Cell Phones Accessories,29.95,9,3902,3.7
157,Electronics,29.95,3,2407,4.5
158,Toys Games,49.95,9,2419,5
159,Cell Phones Accessories,19.99,8,4430,2.8
160,Books,3.99,7,3053,4.7
161,Movies TV,12.99,1,507,4.7
162,Office Products,30,3,2394,3.1
163,Sports Outdoors,74.96,7,2177,3.2
164,Home Kitchen,31.5,6,3139,4.4
165,Electronics,19.99,4,1428,3.4
166,Tools Home Improvement,43.45,9,5251,3.3
167,Grocery Gourmet Food,19.99,8,629,4.2
168,Electronics,99.99,9,4060,3.4
169,Toys Games,25,5,1550,4.2
170,Digital Music,7.99,3,1125,4.6
171,Cell Phones Accessories,9.95,7,106,4.4
172,Books,8.99,9,1081,4.5
173,Amazon Video,3.99,9,3528,4.1
174,Home Kitchen,24.99,6,20,4.4
175,Tools Home Improvement,48.51,8,5299,3.8
176,Electronics,12,7,3225,4.2
177,Electronics,29.99,6,3634,4.2
178,Grocery Gourmet Food,16.08,5,6554,4.4
179,Toys Games,14.99,7,2342,4.4
180,Electronics,32.8,5,3369,3.1
181,CDs Vinyl,195.66,4,1723,4.7
182,Automotive,20,9,4644,5
183,Amazon Launchpad,59.9,9,3821,4.3
184,Amazon Video,2.99,9,3525,4.2
185,Books,13.48,6,1081,4.5
186,Digital Music,8.99,7,737,4.8
187,Electronics,29.99,6,3634,4.2
188,Toys Games,149,5,3717,3.7
189,Office Products,14.3,4,2539,4.6
190,Toys Games,13,2,2921,5
191,Sports Outdoors,9.95,5,2335,5
192,Books,8.99,6,0,4.3
193,Amazon Video,3.99,7,1420,4.3
194,Industrial Scientific,799.99,8,4508,3.6
195,Toys Games,22.99,7,2596,4.5
196,Grocery Gourmet Food,9.73,5,5946,4.2
197,Home Kitchen,24.99,6,20,4.4
198,Digital Music,8.99,2,0,4.5
199,Movies TV,45,3,642,4
200,Books,49,9,1064,4.7
201,Tools Home Improvement,16.99,3,1349,3.8
202,Home Kitchen,99.99,9,4060,3.4
203,Toys Games,8.99,6,3528,3.8
204,Clothing Shoes Jewelry,650,6,1953,5
205,Home Kitchen,21.99,5,3000,4.3
206,Cell Phones Accessories,38.5,4,3593,4.2
207,Movies TV,105,1,1383,3.1
208,Home Kitchen,31.95,7,3393,4.6
209,Toys Games,39.95,9,3322,4
210,Home Kitchen,41.99,3,2579,4.4
211,Industrial Scientific,89.99,7,2778,3.9
212,Sports Outdoors,48,4,2443,3.8
213,Movies TV,16.7,1,746,3.7
214,Toys Games,49.95,9,2419,5
215,Cell Phones Accessories,9.95,7,106,4.4
216,Books,24.99,6,462,3.9
217,Digital Music,8.99,4,2967,4.9
218,Grocery Gourmet Food,28.23,9,3725,3.9
219,Tools Home Improvement,42.99,7,3739,3.1
220,Home Kitchen,33.88,7,3387,4.6
221,Home Kitchen,30.03,6,3139,4.1
222,Clothing Shoes Jewelry,208.7,7,1593,4.5
223,Toys Games,35.19,9,3124,4.7
224,Movies TV,399,1,445,3.6
225,Electronics,35.97,8,2897,4.2
226,Sports Outdoors,67.99,9,3605,4.9
227,Cell Phones Accessories,29.99,9,3075,3.7
228,Books,480,4,0,4.2
229,Movies TV,15.99,1,3432,4.9
230,Home Kitchen,14.99,7,1103,3.4
231,Toys Games,30,7,391,4.5
232,Health Household,29.15,6,2743,4.1
233,Movies TV,19.99,1,2738,4.3
234,Cell Phones Accessories,37.74,3,1871,4.4
235,Tools Home Improvement,399.99,5,1712,2.7
236,Sports Outdoors,96.75,3,2866,3.8
