Id,NumOfBackers,MoneyRaised,AmountPledged,FAQcount,UpdateCount,CommentsCount,ProjectCAtegory,ProjectLocation,ofImages,ofVideos,ofDescText,backersLeastRewards,backersMaxRewards,backedProjects,createdProjects,backerLocation,websiteLinked,collaborator,accountVerified,facebookConnected,facebookFriends,countCreator,countSuperBacker,commentsText,AmazonCategory,AmazonPrice,AmazonImagesVideo,AmazonProdDescLength,rating
38,296,29812,28000,4,85,40,Art Books,NY,12,0,1120,10,2,9,2,NY,1,0,1,0,0,2,1,40,Books,60,9,1828,4.3
39,4084,823003,100000,8,16,802,Food,WA,9,1,1692,27,9,8,1,WA,1,0,0,0,0,101,67,802,Home Kitchen,167.25,7,4422,4.1
40,4097,248873,100000,0,22,476,Food,CA,4,1,131,146,0,13,1,CA,4,8,0,1,1847,120,9,476,Pet Supplies,9.95,9,3889,3.4
41,1789,315222,40000,11,15,761,Hardware,CA,35,1,1353,25,26,5,5,CA,4,3,1,0,0,173,45,762,Electronics,167.99,7,4416,3.8
42,245,19504,12000,9,17,154,Product Design,CA,16,1,1028,9,2,5,2,CA,3,3,1,0,0,54,38,154,Electronics,19.99,8,4431,2.8
43,2002,178613,60000,5,22,233,Sound,CA,20,1,1627,36,3,34,2,WA,2,10,1,1,1961,83,17,233,Musical Instruments,98.57,9,4672,3.9
44,3305,278486,150000,8,14,300,Indie Rock,KY,12,2,2528,23,0,20,2,KY,4,3,1,0,0,37,9,300,Digital Music,8.9,7,2805,4.7
45,626,26364,1500,5,20,49,Product Design,PA,6,2,1139,7,19,40,5,PA,5,3,1,1,487,15,12,49,Home Kitchen,16.7,9,2477,4
46,10160,1552256,30000,62,21,2175,Technology,MA,25,1,2009,175,108,7,2,MA,1,8,1,0,0,264,167,2180,Industrial Scientific,95.99,9,4115,4
47,91585,5702153,2000000,30,102,22439,Narrative Film,CA,7,1,2127,5938,1,13,1,TX,3,1,0,0,0,48,216,20050,Amazon Video,3.99,5,1985,5
48,1095,90840,20000,8,38,263,Hardware,UK,26,4,1029,74,0,29,2,UK,5,2,1,1,601,93,29,263,Baby Products,45,9,2082,3.7
49,1431,65929,45000,4,14,122,Fashion,TX,26,1,1121,150,4,4,1,TX,1,10,0,0,0,33,6,122,Clothing Shoes Jewelry,29.95,9,5367,4.1
50,1644,79744,25000,7,39,100,Tabletop Games,WA,7,1,2130,37,1,23,2,WA,5,0,1,1,510,24,20,100,Toys Games,24.99,3,572,4.6
51,3057,141467,30000,0,45,90,Food,CA,5,1,544,69,2,5,2,CA,1,3,1,0,0,5,12,90,Grocery Gourmet Food,182.29,4,373,4.6
52,3611,1362343,500000,15,30,8793,Technology,CA,39,2,2338,42,7,7,1,CA,3,10,1,0,0,463,201,8807,Cell Phones Accessories,149.99,7,4011,4.1
53,3258,134403,25000,0,18,292,Indie Rock,CA,0,1,391,251,10,9,3,CA,5,3,1,0,0,0,6,292,Digital Music,8.99,9,7355,5
54,795,88771,12000,2,12,49,Product Design,CA,46,1,1841,24,0,40,8,CA,3,8,1,1,539,14,4,49,Arts Crafts Sewing,229.02,3,4500,3.5
55,2621,301212,50000,15,35,628,Hardware,CA,42,1,1017,740,10,23,1,CA,3,8,1,1,719,219,61,629,Tools Home Improvement,39.98,6,2262,3.3
56,10508,1811321,100000,8,27,2412,Food,CA,24,1,2438,103,5,6,1,CA,4,3,0,0,0,139,234,2412,Home Kitchen,325,5,235,4.2
57,769,30201,25000,3,20,75,Product Design,WA,27,2,1141,300,0,32,1,WA,2,3,1,1,484,36,8,76,Amazon Launchpad,23,4,2872,3.7
58,7564,260235,120000,3,47,2560,Video Games,Germany,59,1,1480,29,1,176,3,MA,1,3,1,0,0,196,290,2566,Video Games,24.99,4,156,1.9
59,4562,791862,160000,20,24,2010,Hardware,CA,37,1,1680,200,3,49,2,CA,3,0,1,0,0,423,298,2009,Electronics,149.02,7,1420,4.3
60,1188,46253,11000,3,24,114,Product Design,VA,17,1,767,16,14,8,2,TX,1,10,1,1,903,48,5,114,Amazon Launchpad,14.99,7,4978,4.6
61,1162,34664,15000,0,24,61,Sound,NY,27,7,882,15,3,7,1,NY,3,10,1,1,863,14,9,62,Musical Instruments,16.95,4,4852,4.6
62,4091,205121,45000,6,41,1029,Technology,CA,22,4,1451,72,0,9,1,CA,3,0,0,0,0,197,75,1032,Electronics,69.99,7,3009,2.6
63,11169,600874,110000,1,68,794,Hip-Hop,CA,26,1,1269,91,1,3,1,NY,1,3,1,1,555,82,17,794,Digital Music,10.49,9,8011,4.4
64,519,32805,6000,1,24,227,Product Design,TX,24,1,1395,12,3,7,1,TX,1,10,1,0,0,91,30,228,Patio Lawn Garden,31.99,7,3085,4.9
65,3515,1290439,100000,6,29,902,Hardware,CA,27,1,2063,113,3,2,1,CA,2,10,0,0,0,214,134,904,Industrial Scientific,379,5,3884,3.8
66,9825,905682,50000,3,50,14670,Tabletop Games,GA,48,1,1350,752,8777,50,26,GA,1,1,1,0,0,59,3203,14672,Toys & Games,79.99,6,1929,4.7
67,44949,9192055,20000,12,21,11913,Product Design,IL,42,1,675,319,61,28,2,WA,1,10,1,0,0,210,1401,11924,Clothing Shoes Jewelry,159,8,4000,3.3
68,287,12903,10000,0,13,31,Gadgets,CA,14,3,1340,5,4,17,1,CA,1,3,1,1,296,9,8,31,Patio Lawn Garden,14.95,3,4079,4
69,2991,813803,50000,12,23,685,Sound,MN,37,3,1474,53,2,33,2,MN,4,1,1,0,0,128,86,685,Musical Instruments,195.66,6,1989,2.9
70,198,11115,10000,0,10,47,Product Design,FL,8,1,947,0,3,1,1,FL,4,3,0,0,0,17,0,47,Sports Outdoors,44.95,9,2442,4.3
71,5258,781597,20000,5,76,6450,Tabletop Games,GA,60,1,2602,11,1,50,26,GA,1,1,1,0,0,124,600,6463,Toys Games,99.99,7,479,4.8
72,7253,277399,50000,11,14,714,Chiptune,NY,26,1,2739,161,0,1,1,NY,4,0,0,0,0,4,20,714,Digital Music,9.49,5,2527,4.8
73,2149,107662,10000,0,15,405,Product Design,NY,15,1,772,66,0,9,2,NY,3,8,1,1,729,1,78,405,Home Kitchen,19.99,7,3680,4.3
74,397,20764,7000,1,8,42,Product Design,CA,12,1,826,31,0,1,1,CA,4,1,1,0,0,19,6,42,Health Household,32,6,2988,4.3
75,685,35798,30000,0,14,37,Food,UT,7,1,876,18,0,6,1,UT,5,1,0,0,0,14,3,37,Grocery Gourmet Food,14.99,9,1532,4.3
76,4541,212265,9800,7,35,777,Product Design,OH,8,1,1337,27,0,4,4,OH,2,3,1,1,161,349,22,778,Cell Phones Accessories,32.8,9,2608,2.5
77,81,1604,1500,7,20,19,Graphic Design,CA,8,0,469,1,0,144,1,CA,1,5,1,1,256,2,5,5,Tools Home Improvement,22.76,8,3344,4
78,44949,9192055,20000,12,21,11913,Product Design,IL,42,1,675,319,61,28,2,WA,1,10,1,0,0,210,1401,11924,Amazon Launchpad,149,7,4042,3.6
79,772,32226,28800,7,37,32,Anthologies,WA,13,1,796,77,0,19,4,WA,3,3,1,1,3993,7,2,32,Books,80,7,4525,4.7
80,76,10587,10000,0,9,0,Accessories,AZ,23,2,965,4,0,16,1,AZ,4,3,1,1,1065,0,0,0,Clothing Shoes Jewelry,29.95,9,4956,3.1
81,1989,72256,10000,0,17,222,Product Design,CO,64,1,1494,17,0,10,3,CO,9,0,1,0,0,68,71,224,Electronics,11,9,3156,4
82,793,52175,20000,1,17,47,Documentary,NY,0,1,693,377,3,25,1,NY,1,0,0,1,1654,9,1,47,Amazon Video,3.99,1,1103,4.6
83,2354,51734,5000,4,48,59,Literary Journals,CA,12,1,3721,872,0,1,3,CA,2,10,1,0,0,16,11,59,Magazine Subscriptions,8.99,1,1188,4
84,517,27587,17600,3,5,30,Product Design,GA,9,1,1283,5,1,3,1,GA,4,10,1,0,0,15,5,30,Pet Supplies,32.66,7,4166,3.4
85,706,127493,100000,11,38,282,Product Design,CA,2,1,809,6,3,1,1,CA,1,8,0,1,255,55,21,282,Home Kitchen,285.47,9,6857,4.2
86,915,27598,20000,6,22,113,Hardware,Denmark,1,1,699,20,134,14,2,Denmark,3,3,1,0,0,49,2,113,Patio Lawn Garden,27.28,7,1,4.2
87,619,47404,40000,3,43,304,Fashion,VA,19,1,948,15,2,6,5,VA,2,10,1,1,1664,91,27,304,Electronics,69.95,2,1316,3.9
88,6304,264762,50000,2,21,530,Rock,CA,8,1,2498,134,0,1,1,CA,4,5,0,0,0,13,8,530,Digital Music,0.99,9,3778,4.6
89,138,6729,5000,0,8,1,Indie Rock,NY,1,1,418,12,0,3,1,NY,5,10,0,1,1385,0,0,1,Digital Music,3.99,7,1155,4.5
90,469,70007,50000,7,27,169,Product Design,NY,6,1,1253,421,421,41,3,NY,4,3,1,1,587,62,2,169,Musical Instruments,160.22,7,4498,4
91,2316,147444,100000,0,25,210,Design,CA,5,1,574,93,3,29,1,CA,1,0,0,0,0,44,18,210,Home Kitchen,39.99,4,3702,4.1
92,2316,147444,100000,0,25,210,Design,CA,5,1,574,93,3,29,1,CA,1,3,0,0,0,44,18,210,Home Kitchen,28.99,2,3049,3.8
93,418,13065,10000,1,12,24,Food,CO,5,1,526,6,1,6,1,CO,2,10,0,1,255,6,2,24,Grocery Gourmet Food,23.2,9,3365,4.5
94,6108,652828,100000,13,32,1909,Gadgets,UT,37,1,1678,2171,28,34,5,UT,1,3,1,1,456,459,147,1912,Tools Home Improvement,67.88,9,4318,3.1
95,1056,51831,10000,0,6,40,Photobooks,Canada,3,1,1001,90,5,2,1,NY,3,10,0,1,989,1,2,40,Books,285,7,1701,4.7
96,2316,147444,100000,0,25,210,Design,CA,5,1,574,93,3,29,1,CA,1,3,0,0,0,44,18,210,Home Kitchen,39.89,7,3601,4.1
97,26457,2344134,30000,51,35,2321,Hardware,MA,13,1,1572,1053,1,7,2,MA,1,0,1,0,0,212,305,2330,Toys Games,42.7,9,3528,4.1
98,8016,341667,20000,0,60,451,Comics,NY,4,1,1312,1147,1,6,6,TX,1,10,1,0,0,8,28,451,Kindle Store,19.53,4,5504,4.2
99,3096,246989,148000,6,24,412,Documentary,NY,6,1,1801,157,2,7,1,NY,1,3,0,0,0,61,90,412,Amazon Video,9.99,1,54,4.6
100,5434,375058,15000,14,54,2347,Technology,CA,24,6,1033,285,0,64,4,CA,3,1,1,0,0,157,384,2348,Pet Supplies,99.99,7,3852,3.5
101,666,41209,20000,1,17,73,Product Design,AU,9,1,567,124,4,49,2,AU,3,5,0,1,654,20,4,73,Cell Phones Accessories,29.95,9,734,4.6
102,1049,41869,20000,2,23,257,Gadgets,Denmark,14,1,834,5,1,14,2,Denmark,3,3,1,0,0,92,17,257,Patio Lawn Garden,42.03,8,1871,3.4
103,530,46754,20000,2,24,40,Footwear,MD,18,1,1069,25,16,11,1,MD,5,3,1,0,0,16,1,41,Sports Outdoors,48,5,5795,5
104,1335,40015,28000,6,36,311,Gadgets,PA,10,1,959,10,22,53,1,PA,4,5,0,1,383,97,59,311,Electronics,29.94,4,5012,4.2
105,200,16343,11200,7,11,16,Product Design,WA,34,1,1961,0,0,1,1,WA,2,1,1,1,447,3,2,16,Automotive,135,7,6034,3.8
106,6304,264762,50000,2,21,530,Rock,CA,8,1,2498,134,0,1,1,CA,4,0,0,0,0,13,8,530,Digital Music,0.99,4,0,4.6
107,135,17215,17000,1,5,1,Food,TX,4,1,759,4,0,3,1,TX,1,3,0,1,830,0,0,2,Grocery Gourmet Food,6.99,7,56,3.5
108,135,17215,17000,1,5,1,Food,TX,4,1,759,4,0,3,1,TX,1,3,0,1,830,0,0,2,Grocery Gourmet Food,3.99,4,2169,4.1
109,135,17215,17000,1,5,1,Food,TX,4,1,759,4,0,3,1,TX,1,10,0,1,830,0,0,2,Grocery Gourmet Food,13.48,6,49,4.1
110,135,17215,17000,1,5,1,Food,TX,4,1,759,4,0,3,1,TX,1,2,0,1,830,0,0,2,Grocery Gourmet Food,3.23,7,155,2.6
111,135,17215,17000,1,5,1,Food,TX,4,1,759,4,0,3,1,TX,1,8,0,1,830,0,0,2,Grocery Gourmet Food,13.98,6,373,4.7
112,135,17215,17000,1,5,1,Food,TX,4,1,759,4,0,3,1,TX,1,3,0,1,830,0,0,2,Grocery Gourmet Food,3.99,4,2158,4.1
113,242,6506,3500,0,6,63,Pop,NY,0,1,242,25,0,1,1,NY,1,8,0,0,0,5,0,64,Digital Music,3.96,9,6857,4.2
114,455,21004,20000,1,23,28,Product Design,PA,22,1,965,8,19,40,5,PA,5,3,1,1,487,8,2,28,Home Kitchen,7.99,8,2679,4.5
115,338,39288,15000,3,29,108,Design,FL,12,2,1418,50,9,42,3,FL,3,3,1,0,0,45,20,108,Sports Outdoors,36.95,7,2735,4.3
116,31,11185,11000,0,0,0,Small Batch,OR,6,1,1529,1,1,1,1,OR,1,8,1,0,0,0,0,0,Beauty Personal Care,19.96,3,5430,5
