Id`New Backers`Returning Backers
1`436`322
2`124`7895
3`1504`3910
4`35097`43374
5`4163`5359
6`942`1374
7`52`437
8`52`437
9`52`437
10`52`437
11`52`437
12`52`437
13`1705`3931
14`95583`123799
15`206`924
16`1278`9560
17`2439`6819
18`145`1132
19`1065`988
20`347`319
21`2417`1828
22`751`2240
23`116`730
24`415`1730
25`52`20
26`571`3105
27`130`103
28`948`2577
29`1270`4500
30`124`7895
31`269`580
32`125`293
33`139`467
34`5411`5713
35`347`319
36`280`560
37`102`305
38`92`204
39`1546`2538
40`2118`1979
41`614`1175
42`28`217
43`505`1497
44`1143`2162
45`59`567
46`4043`6117
47`59219`32366
48`260`835
49`146`1285
50`429`1215
51`276`2781
52`1202`2409
53`1284`1974
54`330`465
55`608`2013
56`4346`6162
57`227`542
58`1036`6528
59`748`3814
60`187`1001
61`301`861
62`1026`3065
63`4442`6727
64`23`496
65`1087`2428
66`963`8862
67`20487`24462
68`111`176
69`751`2240
70`75`123
71`2040`3218
72`1875`5378
73`737`1412
74`88`309
75`318`367
76`1724`2817
77`7`74
78`20487`24462
79`90`682
80`35`41
81`73`1916
82`329`464
83`147`2207
84`249`268
85`201`505
86`345`570
87`110`509
88`3613`2691
89`73`65
90`156`313
91`942`1374
92`942`1374
93`125`293
94`1165`4943
95`366`690
96`942`1374
97`11672`14785
98`2070`5946
99`909`2187
100`841`4593
101`347`319
102`316`733
103`324`206
104`324`1011
105`103`97
106`3613`2691
107`90`45
108`90`45
109`90`45
110`90`45
111`90`45
112`90`45
113`164`78
114`129`326
115`71`267
116`17`14
117`388`478
118`124`7895
121`20487`24462
122`321`1122
123`159`235
124`413`1859
125`331`1884
126`1724`2817
127`355`1902
128`5264`8123
129`347`319
130`348`1289
131`105`907
132`1725`2808
133`59`195
134`278`1353
135`942`1374
136`342`1631
137`347`319
138`324`206
139`71`267
140`102`464
141`17`14
142`226`120
143`24`58
144`333`3071
145`303`420
146`303`420
147`292`593
148`237`270
149`509`866
150`292`662
151`34`146
152`1109`3477
153`176`1702
154`36`614
155`126`112
156`68`189
157`439`2216
158`195`131
159`28`217
160`188`2187
161`1015`480
162`88`414
163`116`744
164`4552`6065
165`942`2795
166`225`788
167`393`710
168`195`1192
169`231`1639
170`95`137
171`347`319
172`43`232
173`41`67
174`737`1412
175`28`289
176`73`1916
177`237`2414
178`17`14
179`143`216
180`103`85
181`62`150
182`172`982
183`347`319
184`202`401
185`43`232
186`329`368
187`237`2414
188`698`659
189`62`189
190`5`310
191`489`1691
192`410`1341
193`41`67
194`122`272
195`143`216
196`17`14
197`737`1412
198`1547`1071
199`26596`19924
200`56`1508
201`34`146
202`195`1192
203`11672`14785
204`52`15
205`13`111
206`49`64
207`156`475
208`102`464
209`108`404
210`7`131
211`113`102
212`396`334
213`886`448
214`195`131
215`347`319
216`222`631
217`84`32
218`138`279
219`780`2036
220`102`464
221`4552`6065
222`41`346
223`143`216
224`139`299
225`73`1916
226`169`488
227`221`844
228`283`1036
229`267`482
230`54`656
231`89`411
232`88`309
233`117`441
234`316`733
235`165`448
236`116`744
237`52`15
238`23`78
239`66`93
240`489`1691
241`694`3500
242`2949`1956
243`351`3070
244`295`1666
245`52`148
246`227`159
247`173`205
248`98`226
249`169`556
250`43`343
251`1212`2172
252`316`650
253`113`1389
254`11689`6531
255`173`205
256`1023`791
257`78`477
258`28`592
259`13`27
260`149`130
261`143`216
262`700`1047
263`84`679
264`38`78
265`52`15
266`737`1412
267`58`184
268`72`438
269`250`1266
270`4552`6065
271`55`99
272`42`643
273`4552`6065
274`188`766
275`52`15
276`24`64
277`74`298
278`115`410
279`195`131
280`708`1865
281`163`196
282`4552`6065
283`4552`6065
284`144`969
285`52`15
286`1225`2081
287`518`1881
288`926`1404
289`17`14
290`130`3054
291`20487`24462
292`4552`6065
293`324`493
294`234`463
295`358`931
296`271`1111
297`150`120
298`82`850
299`32`84
300`55`88
301`49`450
302`259`265
303`186`699
304`1201`111
305`393`2785
306`84`679
307`266`310
308`159`79
309`55`131
310`186`699
311`74`714
312`82`850
313`115`410
314`41`20
315`27`31
316`184`1925
317`4552`6065
318`324`206
319`271`1111
320`66`492
321`124`758
322`752`796
323`221`162
324`130`3054
325`159`79
326`4552`6065
327`324`493
328`91`1179
329`173`205
330`238`112
331`417`740
332`135`538
333`490`1720
334`150`706
335`105`89
336`1630`786
337`159`79
338`68`143
339`1572`1694
340`82`850
341`115`410
342`36`160
343`131`842
344`5`172
345`417`740
346`96`49
347`417`740
348`130`3054
349`224`1468
350`105`89
351`150`706
352`46`29
353`164`58
354`90`908
355`130`3054
356`141`448
357`210`425
358`130`3054
359`141`448
360`164`58
361`143`130
362`171`243
363`210`425
364`159`79
365`184`335
366`82`850
367`20`67
368`1572`1694
369`164`58
370`164`58
371`106`223
372`324`493
373`164`58
374`21`942
375`954`3716
